model,filter,method,avg_auc_score
ConvNeXt-Base,erosion,CB-RISE,0.559353232383728
ConvNeXt-Base,erosion,Occlusion,0.4856076240539551
ConvNeXt-Base,erosion,Grad-CAM,0.5556957125663757
ConvNeXt-Base,dilation,CB-RISE,0.2727571964263916
ConvNeXt-Base,dilation,Occlusion,0.35290451645851134
ConvNeXt-Base,dilation,Grad-CAM,0.3565449893474579
ResNet101,erosion,CB-RISE,0.6778207898139954
ResNet101,erosion,Occlusion,0.5363141894340515
ResNet101,erosion,Grad-CAM,0.588455855846405
ResNet101,dilation,CB-RISE,0.317437481880188
ResNet101,dilation,Occlusion,0.5459367156028747
ResNet101,dilation,Grad-CAM,0.4964292526245117
ViT-L/32,erosion,CB-RISE,0.7077514052391052
ViT-L/32,erosion,Occlusion,0.506437110900879
ViT-L/32,erosion,Grad-CAM,0.5588944554328918
ViT-L/32,dilation,CB-RISE,0.3844328324000041
ViT-L/32,dilation,Occlusion,0.5240810573101043
ViT-L/32,dilation,Grad-CAM,0.49586156010627747
